sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"C634C12",,,,,,,,,,,,,,,,,,,,,1831.48,18.315,,
"C634C134",,,,,,,,,,,,,,,,,,,,,179.05,1.791,,
"C634C134Z",,,,,,,,,,,,,,,,,,,,,157.33,1.573,,
"C634C14",,,,,,,,,,,,,,,,,,,,,1684.38,16.844,,
"C634C2",,,,,,,,,,,,,,,,,,,,,187.03,1.870,,
"C634C20",,,,,,,,,,,,,,,,,,,,,2123.15,21.232,,
"C634C212",,,,,,,,,,,,,,,,,,,,,217.93,2.179,,
"C634C214",,,,,,,,,,,,,,,,,,,,,178.23,1.782,,
"C634C214Z",,,,,,,,,,,,,,,,,,,,,106.4,1.064,,
"C634C234",,,,,,,,,,,,,,,,,,,,,234.63,2.346,,
"C634C3",,,,,,,,,,,,,,,,,,,,,239.45,2.395,,
"C634C312",,,,,,,,,,,,,,,,,,,,,261.75,2.618,,
"C634C314",,,,,,,,,,,,,,,,,,,,,259.25,2.593,,
"C634C334",,,,,,,,,,,,,,,,,,,,,335.05,3.351,,
"C634C3Z",,,,,,,,,,,,,,,,,,,,,199.8,1.998,,
"C634C4",,,,,,,,,,,,,,,,,,,,,314.38,3.144,,
"C634C412",,,,,,,,,,,,,,,,,,,,,347.08,3.471,,
"C634C414",,,,,,,,,,,,,,,,,,,,,376.43,3.764,,
"C634C5",,,,,,,,,,,,,,,,,,,,,370.23,3.702,,
"C634C512",,,,,,,,,,,,,,,,,,,,,377.93,3.779,,
"C634C6",,,,,,,,,,,,,,,,,,,,,483.18,4.832,,
"C634C612",,,,,,,,,,,,,,,,,,,,,622.63,6.226,,
"C634C7",,,,,,,,,,,,,,,,,,,,,591.33,5.913,,
"C634C712",,,,,,,,,,,,,,,,,,,,,661.98,6.620,,
"C634C8",,,,,,,,,,,,,,,,,,,,,827.58,8.276,,
"C634C812",,,,,,,,,,,,,,,,,,,,,775.15,7.752,,
"C634C9",,,,,,,,,,,,,,,,,,,,,784.4,7.844,,
"C634F112",,,,,,,,,,,,,,,,,,,,,201.6,2.016,,
"C634F114",,,,,,,,,,,,,,,,,,,,,197.48,1.975,,
"C634F134",,,,,,,,,,,,,,,,,,,,,207.78,2.078,,
"C634F2",,,,,,,,,,,,,,,,,,,,,232.65,2.327,,
"C634F212",,,,,,,,,,,,,,,,,,,,,260.58,2.606,,
"C634F214",,,,,,,,,,,,,,,,,,,,,232.1,2.321,,
"C634F234",,,,,,,,,,,,,,,,,,,,,302.23,3.022,,
"C634F3",,,,,,,,,,,,,,,,,,,,,282.33,2.823,,
"C634F312",,,,,,,,,,,,,,,,,,,,,244.4,2.444,,
"C634F314",,,,,,,,,,,,,,,,,,,,,229.13,2.291,,
"C634F4",,,,,,,,,,,,,,,,,,,,,376.33,3.763,,
"C634F412",,,,,,,,,,,,,,,,,,,,,416.15,4.162,,
"C634F5",,,,,,,,,,,,,,,,,,,,,506.53,5.065,,
"C634F512",,,,,,,,,,,,,,,,,,,,,543.78,5.438,,
"C634F6",,,,,,,,,,,,,,,,,,,,,601.43,6.014,,
"C634F7",,,,,,,,,,,,,,,,,,,,,819.63,8.196,,
"C634F8",,,,,,,,,,,,,,,,,,,,,655.35,6.554,,
"C64C1",,,,,,,,,,,,,,,,,,,,,6.3,0.063,,
"C64C1116",,,,,,,,,,,,,,,,,,,,,3.93,0.039,,
"C64C112",,,,,,,,,,,,,,,,,,,,,6.53,0.065,,
"C64C114",,,,,,,,,,,,,,,,,,,,,5.18,0.052,,
"C64C118",,,,,,,,,,,,,,,,,,,,,5.43,0.054,,
"C64C12",,,,,,,,,,,,,,,,,,,,,6.2,0.062,,
"C64C12Z",,,,,,,,,,,,,,,,,,,,,2.9,0.029,,
"C64C134",,,,,,,,,,,,,,,,,,,,,12.35,0.124,,
"C64C14",,,,,,,,,,,,,,,,,,,,,6.23,0.062,,
"C64C14Z",,,,,,,,,,,,,,,,,,,,,3.88,0.039,,
"C64C18",,,,,,,,,,,,,,,,,,,,,6.68,0.067,,
"C64C2",,,,,,,,,,,,,,,,,,,,,13.33,0.133,,
"C64C316",,,,,,,,,,,,,,,,,,,,,4.48,0.045,,
"C64C34",,,,,,,,,,,,,,,,,,,,,4.2,0.042,,
"C64C38",,,,,,,,,,,,,,,,,,,,,4.1,0.041,,
"C64C38Z",,,,,,,,,,,,,,,,,,,,,2.43,0.024,,
"C64C516",,,,,,,,,,,,,,,,,,,,,3.1,0.031,,
"C64C58",,,,,,,,,,,,,,,,,,,,,6.93,0.069,,
"C64C716",,,,,,,,,,,,,,,,,,,,,6.5,0.065,,
"C64C78",,,,,,,,,,,,,,,,,,,,,4.1,0.041,,
"C64C916",,,,,,,,,,,,,,,,,,,,,3.1,0.031,,
"C64F1",,,,,,,,,,,,,,,,,,,,,5.88,0.059,,
"C64F12",,,,,,,,,,,,,,,,,,,,,5.78,0.058,,
"C64F18",,,,,,,,,,,,,,,,,,,,,11.08,0.111,,
"C64F34",,,,,,,,,,,,,,,,,,,,,7.23,0.072,,
"C64F58",,,,,,,,,,,,,,,,,,,,,6.7,0.067,,
"C64F716",,,,,,,,,,,,,,,,,,,,,6.68,0.067,,
"C6516C1",,,,,,,,,,,,,,,,,,,,,15.15,0.152,,
"C6516C10",,,,,,,,,,,,,,,,,,,,,180.18,1.802,,
"C6516C112",,,,,,,,,,,,,,,,,,,,,19.65,0.197,,
"C6516C112Z",,,,,,,,,,,,,,,,,,,,,16.23,0.162,,
"C6516C114",,,,,,,,,,,,,,,,,,,,,16.85,0.169,,
"C6516C114Z",,,,,,,,,,,,,,,,,,,,,11.7,0.117,,
"C6516C118",,,,,,,,,,,,,,,,,,,,,22.7,0.227,,
"C6516C12",,,,,,,,,,,,,,,,,,,,,13.3,0.133,,
"C6516C134",,,,,,,,,,,,,,,,,,,,,21.93,0.219,,
"C6516C138",,,,,,,,,,,,,,,,,,,,,28.73,0.287,,
"C6516C158",,,,,,,,,,,,,,,,,,,,,28.68,0.287,,
"C6516C1Z",,,,,,,,,,,,,,,,,,,,,14.83,0.148,,
"C6516C2",,,,,,,,,,,,,,,,,,,,,25.68,0.257,,
"C6516C212",,,,,,,,,,,,,,,,,,,,,29.93,0.299,,
"C6516C212Z",,,,,,,,,,,,,,,,,,,,,26.18,0.262,,
"C6516C214",,,,,,,,,,,,,,,,,,,,,23.48,0.235,,
"C6516C234",,,,,,,,,,,,,,,,,,,,,35.13,0.351,,
"C6516C2Z",,,,,,,,,,,,,,,,,,,,,28,0.280,,
"C6516C3",,,,,,,,,,,,,,,,,,,,,37.1,0.371,,
"C6516C312",,,,,,,,,,,,,,,,,,,,,37.88,0.379,,
"C6516C314",,,,,,,,,,,,,,,,,,,,,39.58,0.396,,
"C6516C334",,,,,,,,,,,,,,,,,,,,,50.13,0.501,,
"C6516C34",,,,,,,,,,,,,,,,,,,,,13.73,0.137,,
