sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
MEMCAP2065,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 65MM (BOX 25),Catalog, Search,1,2.5,no,memcap2065,1000
MEMCAP24100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 100MM (BOX 10),Catalog, Search,1,2.5,no,memcap24100,1000
MEMCAP30200,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 200MM (SINGLE),Catalog, Search,1,2.5,no,memcap30200,1000
MEMCAP520Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap520z,1000
MEMCAP540Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 40MM (BOX 200),Catalog, Search,1,2.5,no,memcap540z,1000
MEMCAP620,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap620,1000
MEMCAP630Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap630z,1000
MEMCAP645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 45MM (BOX 200),Catalog, Search,1,2.5,no,memcap645z,1000
MEMCAP68Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 8MM (BOX 200),Catalog, Search,1,2.5,no,memcap68z,1000
MEMCAP820,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap820,1000
MEMCAP830Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap830z,1000
MEMCAP845,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 45MM (BOX 200),Catalog, Search,1,2.5,no,memcap845,1000
MEMCAP12100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 100MM (BOX 50),Catalog, Search,1,2.5,no,memcap12100,1000
MEMCAP880Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 80MM (BOX 100),Catalog, Search,1,2.5,no,memcap880z,1000
MEMFN20Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M20 (BOX 50),Catalog, Search,1,2.5,no,memfn20z,1000
MEMFN8Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M8 (BOX 100),Catalog, Search,1,2.5,no,memfn8z,1000
MEMHTB10130Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 130MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10130z,1000
MEMHTB1045Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 45MM (BOX 100),Catalog, Search,1,2.5,no,memhtb1045z,1000
MEMHTB1070Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 70MM (BOX 50),Catalog, Search,1,2.5,no,memhtb1070z,1000
MEMHTB12110Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 110MM (BOX 50),Catalog, Search,1,2.5,no,memhtb12110z,1000
MEMHTB12160Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 160MM (BOX 25),Catalog, Search,1,2.5,no,memhtb12160z,1000
MEMHTB1245Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M12 X 45MM (BOX 100),Catalog, Search,1,2.5,no,memhtb1245z,1000
MEMCAP2025Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 25MM (BOX 200),Catalog, Search,1,2.5,no,memcap2025z,1000
