sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
PKT090307,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GENERAL CAR MAINTENANCE",base,PRO CERAMIC GREASE SPRAY 500ML,"Catalog, Search",1
PKT090308,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GENERAL CAR MAINTENANCE",base,PRO TAR SPRAY 500ML,"Catalog, Search",1
UPOEASY,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,EASY 1 BODY FILLER 3 LITRE,"Catalog, Search",1
UNI1554712,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/DEHUMIDIFIERS & MOISTURE ABSORBERS",base,SMALL MOISTURE ABSORBER NEUTRAL POWER TAB REFILL (PACK 2),"Catalog, Search",1
FORDS4550GT,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,FORGEFAST TORX COMPATIBLE DECKING SCREWS CSK GREEN 4.5X50 T25 TUB 600,"Catalog, Search",1
GRGGTAW11,FRANCISKIRK,simple,"ANCHORING PRODUCTS/WATERPROOF TAPE",base,GORILLA TAPE ALL-WEATHER EXTREME 48MM X 11M BLACK,"Catalog, Search",1
RAWM6EYEB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/HOOK & EYE MASONRY FIXINGS",base,RAWLBOLT EYE BOLT M6 (BAG 5),"Catalog, Search",1
16MCP1054,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,16MM - PHILIDAS TURRET GRADE 10 NUT -ZINC & YELLOW,"Catalog, Search",1
30MCP1054,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,30MM TURRET GRADE 10 PHILIDAS NUTS ZINC & YELLOW,"Catalog, Search",1
22MFI1054,FRANCISKIRK,simple,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",base,22MM INDUSTRIAL FINE PITCH GRADE 10 Z & Y PHILIDAS,"Catalog, Search",1
22MFP854,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,22MM TURRET FINE PITCH ZINC YELLOW PHILIDAS,"Catalog, Search",1
VIL150730,FRANCISKIRK,simple,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS/MOPS",base,SUPERMOCIO 3ACTION XL REFILL,"Catalog, Search",1
M9432,FRANCISKIRK,simple,"PPE/FACE MASKS/FULL FACE MASK",base,MOLDEX 9432 ABEK1P3 FULL FACE MASK M,"Catalog, Search",1
M9995,FRANCISKIRK,simple,"PPE/FACE MASKS/FACE MASK STORAGE BOX",base,MOLDEX 9995 FULL FACE MASK STORAGE BOX,"Catalog, Search",1
VIT333150,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,TAPERED DISPOSABLE EARPLUGS 33 DB (100 PAIRS),"Catalog, Search",1
MEMCAP24150,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 150MM (BOX 10),"Catalog, Search",1
MEMCAP16120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 120MM (BOX 25),"Catalog, Search",1
MEMCAP860,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 60MM (BOX 100),"Catalog, Search",1
MEMCAP2010Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP1240,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 40MM (BOX 50),"Catalog, Search",1
