sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"RSLQDWSM25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN MAHOGANY 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN MAHOGANY 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSM750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN MAHOGANY 750ML","QUICK DRYING WOODSTAIN SATIN MAHOGANY 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSNO250",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL OAK 250ML","WOODSTAIN QUICK DRY SATIN NATURAL OAK 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://franciskirk.shop/var/import/images/RSLQDWSNO250.jpg
"RSLQDWSNO25L",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL OAK 2.5 LITRE","WOODSTAIN QUICK DRY SATIN NATURAL OAK 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://franciskirk.shop/var/import/images/RSLQDWSNO25L.jpg
"RSLQDWSNO750",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL OAK 750ML","WOODSTAIN QUICK DRY SATIN NATURAL OAK 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://franciskirk.shop/var/import/images/RSLQDWSNO750.jpg
"RSLQDWSNP250",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL PINE 250ML","WOODSTAIN QUICK DRY SATIN NATURAL PINE 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://franciskirk.shop/var/import/images/RSLQDWSNP250.jpg
"RSLQDWSNP25L",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL PINE 2.5 LITRE","WOODSTAIN QUICK DRY SATIN NATURAL PINE 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://franciskirk.shop/var/import/images/RSLQDWSNP25L.jpg
"RSLQDWSNP750",TOOLBANK,"WOODSTAIN QUICK DRY SATIN NATURAL PINE 750ML","WOODSTAIN QUICK DRY SATIN NATURAL PINE 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://franciskirk.shop/var/import/images/RSLQDWSNP750.jpg
"RSLQDWSSW250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 250ML","QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://franciskirk.shop/var/import/images/RSLQDWSSW250.jpg
"RSLQDWSSW25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN SMOKED WALNUT 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://franciskirk.shop/var/import/images/RSLQDWSSW25L.jpg
