Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
STB96M248,STB96M248,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 122CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 122CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,74.55,186.38,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
STB96M272,STB96M272,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 183CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 183CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,85.21,213.03,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
STB96M280,STB96M280,TOOLBANK,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 200CM,96-M-2 MAGNETIC SPIRIT LEVEL 3 VIAL 200CM,,,,,,TOOLS,HAND TOOLS,LEVELS - SPIRIT,BOX SECTION LEVELS,1,90.54,226.35,1,1,STABILA,,,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/STB96260.jpg",,,,
STBRTYPE100,STBRTYPE100,TOOLBANK,R-TYPE SPIRIT LEVEL 3 VIAL 100CM (39IN),R-TYPE SPIRIT LEVEL 3 VIAL 100CM (39IN),,,,,,,,,,1,55.15,137.88,1,1,STABILA,,,,,4.01E+12,,,
sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,url_key,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,additional_attributes,qty,configurable_variations,configurable_variation_labels
BB,,FRANCISKIRK,configurable,"FK Store/WORKWEAR & CLOTHING,FK Store/WORKWEAR & CLOTHING/FOOTWEAR,FK Store/WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",base,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,1,Taxable Goods,"Catalog, Search",14.73,dunlop-pricemaster-non-safety-wellington,/B/B/BB_1614278587.jpg,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,/B/B/BB_1614278587.jpg,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,/B/B/BB_1614278587.jpg,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,"featured=Yes,fkbrand=DUNLOP,images=https://www.beeswiftonline.com/Images/BBB.JPG,manufacturer=Adidas,pack_qty=1,price_structure=No,price_unit=1,supplier=BEESWIFT,timershow=Yes,unit_price=14.73",0,"sku=BB-RED-8,color=RED,size_option=8|sku=BB-RED-9,color=RED,size_option=9|sku=BBBR10,color=RED,size_option=10","color=Colour,size_option=Size Option"
BB-RED-8,,FRANCISKIRK,virtual,,base,DUNLOP PRICEMASTER NON SAFETY WELLINGTON-RED-8,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,1,Taxable Goods,Not Visible Individually,15,dunlop-pricemaster-non-safety-wellington-red-8,,,,,,,"color=RED,featured=Yes,price_structure=No,size_option=8,timershow=Yes",25,,
BB-RED-9,,FRANCISKIRK,virtual,,base,DUNLOP PRICEMASTER NON SAFETY WELLINGTON-NATURAL-5,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,1,Taxable Goods,Not Visible Individually,15,dunlop-pricemaster-non-safety-wellington-red-9,,,,,,,"color=RED,featured=Yes,price_structure=No,size_option=9,timershow=Yes",25,,
BBBR10,,FRANCISKIRK,virtual,,base,DUNLOP PRICEMASTER NON SAFETY WELLINGTON 8,DUNLOP PRICEMASTER NON SAFETY WELLINGTON,1,Taxable Goods,Not Visible Individually,14.73,BBBR10,,,,,,,"color=RED,featured=Yes,price_structure=No,size_option=10,timershow=Yes",20,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
ROU32620,ROU32620,TOOLBANK,GORILLA GRIPPER DOOR CARRIER (32-50MM),GORILLA GRIPPER DOOR CARRIER (32-50MM),,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,DOOR & BOARD LIFTERS,1,42.11,105.28,1,1,ROUGHNECK,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/ROU32600.jpg",-,,,
Sku,Vendor Sku,Supplier,Product Name,Product Desc,Thread Form,Diameter,Length,Finish Colour,Grade,Category,Type,Sub Type,Sub Sub Type,Pack Qty,Price Edited,Web Price,Price Unit Of Measure,Active,Brand,Prod Size,Item Size,Colour,Image,Barcode,Thread Type,Master Sku,Sku Type
ROU64391,ROU64391,TOOLBANK,LONG FIBREGLASS HANDLE FLOOR SCRAPER 300MM (12IN),LONG FIBREGLASS HANDLE FLOOR SCRAPER 300MM (12IN),,,,,,TOOLS,HAND TOOLS,BUILDER'S TOOLS,FLOOR & WALL SCRAPERS,1,12.57,31.43,1,1,ROUGHNECK,,-,,"https://toolmedia-res.cloudinary.com/image/private//c_scale,f_auto,q_auto,w_640/toolbank/products/ROU64391L.jpg",-,,,
