sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter,,
JUVS155,,,,,,,,,,,,,,,,,,,,,6.9,0.07,,,,,
JWI137,,,,,,,,,,,,,,,,,,,,,42.75,0.43,,,,,
LF4610878,,,,,,,,,,,,,,,,,,,,,9.63,0.1,,,,,
LF46138106,,,,,,,,,,,,,,,,,,,,,36.88,0.37,,,,,
NUCI100,,,,,,,,,,,,,,,,,,,,,63.45,0.63,,,,,
NUCI154,,,,,,,,,,,,,,,,,,,,,66.18,0.66,,,,,
NUFI100,,,,,,,,,,,,,,,,,,,,,63.9,0.64,,,,,
NUFI137,,,,,,,,,,,,,,,,,,,,,66.18,0.66,,,,,
NUFI154,,,,,,,,,,,,,,,,,,,,,66.18,0.66,,,,,
NUFP100,,,,,,,,,,,,,,,,,,,,,83.08,0.83,,,,,
NUVS138,,,,,,,,,,,,,,,,,,,,,19.45,0.19,,,,,
NWI137,,,,,,,,,,,,,,,,,,,,,66.2,0.66,,,,,
PH20.10128-01,,,,,,,,,,,,,,,,,,,,,103.75,1.04,,,,,
PHILT112BZ,,,,,,,,,,,,,,,,,,,,,2000,20,,,,,
QFI100,,,,,,,,,,,,,,,,,,,,,90.23,0.9,,,,,
QUFI100,,,,,,,,,,,,,,,,,,,,,81.48,0.81,,,,,
QUFI137,,,,,,,,,,,,,,,,,,,,,84,0.84,,,,,
QWI137,,,,,,,,,,,,,,,,,,,,,84,0.84,,,,,
SFI137,,,,,,,,,,,,,,,,,,,,,218,2.18,,,,,
SUCI100,,,,,,,,,,,,,,,,,,,,,207.3,2.07,,,,,
SUFI100,,,,,,,,,,,,,,,,,,,,,224.28,2.24,,,,,
SUFI137,,,,,,,,,,,,,,,,,,,,,226.03,2.26,,,,,
SUVS137,,,,,,,,,,,,,,,,,,,,,35.65,0.36,,,,,
SWI137,,,,,,,,,,,,,,,,,,,,,211.65,2.12,,,,,
SWP137,,,,,,,,,,,,,,,,,,,,,250.33,2.5,,,,,
UFI137,,,,,,,,,,,,,,,,,,,,,320.33,3.2,,,,,
UUCI100,,,,,,,,,,,,,,,,,,,,,302.05,3.02,,,,,
UUCI137,,,,,,,,,,,,,,,,,,,,,311,3.11,,,,,
UUFI100,,,,,,,,,,,,,,,,,,,,,306.93,3.07,,,,,
WFI137,,,,,,,,,,,,,,,,,,,,,430.53,4.31,,,,,
WUCI137,,,,,,,,,,,,,,,,,,,,,417.98,4.18,,,,,
WUFI137,,,,,,,,,,,,,,,,,,,,,423.05,4.23,,,,,
WWP137,,,,,,,,,,,,,,,,,,,,,508.13,5.08,,,,,
YWI137FK,,,,,,,,,,,,,,,,,,,,,1750,17.5,,,,,
ZUCJ100,,,,,,,,,,,,,,,,,,,,,1610.7,16.11,,,,,
10MCI1054,,,,,,,,,,,,,,,,,,,,,36.25,0.36,,,,,
10MCI2S00,,,,,,,,,,,,,,,,,,,,,78.98,0.79,,,,,
10MCI4S00,,,,,,,,,,,,,,,,,,,,,105.03,1.05,,,,,
10MCI800,,,,,,,,,,,,,,,,,,,,,27.48,0.27,,,,,
10MCI854,,,,,,,,,,,,,,,,,,,,,25.8,0.26,,,,,
10MCP1057,,,,,,,,,,,,,,,,,,,,,83.35,0.83,,,,,
10MCP2S00,,,,,,,,,,,,,,,,,,,,,98.73,0.99,,,,,
10MCP4S00,,,,,,,,,,,,,,,,,,,,,147.05,1.47,,,,,
10MCP800,,,,,,,,,,,,,,,,,,,,,35.25,0.35,,,,,
10MCP854,,,,,,,,,,,,,,,,,,,,,26.53,0.27,,,,,
10MCV837,,,,,,,,,,,,,,,,,,,,,7.68,0.08,,,,,
10MCV855,,,,,,,,,,,,,,,,,,,,,7.68,0.08,,,,,
12MCI10106,,,,,,,,,,,,,,,,,,,,,89.3,0.89,,,,,
12MCI2S00,,,,,,,,,,,,,,,,,,,,,88.7,0.89,,,,,
12MCI4S00,,,,,,,,,,,,,,,,,,,,,155.23,1.55,,,,,
12MCI800,,,,,,,,,,,,,,,,,,,,,39.45,0.39,,,,,
12MCI854,,,,,,,,,,,,,,,,,,,,,32.13,0.32,,,,,
12MCP1054,,,,,,,,,,,,,,,,,,,,,99.25,0.99,,,,,
12MCP2S00,,,,,,,,,,,,,,,,,,,,,110.88,1.11,,,,,
12MCP4S00,,,,,,,,,,,,,,,,,,,,,217.33,2.17,,,,,
12MCP800,,,,,,,,,,,,,,,,,,,,,65.38,0.65,,,,,
12MCP854,,,,,,,,,,,,,,,,,,,,,34.78,0.35,,,,,
12MCV1000,,,,,,,,,,,,,,,,,,,,,16,0.16,,,,,
12MCV855,,,,,,,,,,,,,,,,,,,,,10.48,0.1,,,,,
14MCI1054,,,,,,,,,,,,,,,,,,,,,83.35,0.83,,,,,
14MCI800,,,,,,,,,,,,,,,,,,,,,137.7,1.38,,,,,
14MCI8106,,,,,,,,,,,,,,,,,,,,,155,1.55,,,,,
14MCI854,,,,,,,,,,,,,,,,,,,,,55.58,0.56,,,,,
14MCP800,,,,,,,,,,,,,,,,,,,,,130.35,1.3,,,,,
14MCP854,,,,,,,,,,,,,,,,,,,,,65,0.65,,,,,
14MCV855,,,,,,,,,,,,,,,,,,,,,19.43,0.19,,,,,
14MFI1054,,,,,,,,,,,,,,,,,,,,,238.15,2.38,,,,,
14MFI854,,,,,,,,,,,,,,,,,,,,,128.55,1.29,,,,,
14MFV1014,,,,,,,,,,,,,,,,,,,,,31.3,0.31,,,,,
16MCI1054,,,,,,,,,,,,,,,,,,,,,89.3,0.89,,,,,
16MCI12106,,,,,,,,,,,,,,,,,,,,,111.5,1.12,,,,,
16MCI1237,,,,,,,,,,,,,,,,,,,,,96.38,0.96,,,,,
16MCI2S00,,,,,,,,,,,,,,,,,,,,,133.73,1.34,,,,,
16MCI4S00,,,,,,,,,,,,,,,,,,,,,223.35,2.23,,,,,
16MCI800,,,,,,,,,,,,,,,,,,,,,72.25,0.72,,,,,
16MCI854,,,,,,,,,,,,,,,,,,,,,63.5,0.64,,,,,
16MCP1000,,,,,,,,,,,,,,,,,,,,,162.5,1.63,,,,,
16MCP10106,,,,,,,,,,,,,,,,,,,,,172.5,1.73,,,,,
16MCP2S00,,,,,,,,,,,,,,,,,,,,,167.15,1.67,,,,,
16MCP4S00,,,,,,,,,,,,,,,,,,,,,312.68,3.13,,,,,
16MCP800,,,,,,,,,,,,,,,,,,,,,117.43,1.17,,,,,
16MCP803,,,,,,,,,,,,,,,,,,,,,143.65,1.44,,,,,
16MCP8106,,,,,,,,,,,,,,,,,,,,,93.68,0.94,,,,,
16MCP837,,,,,,,,,,,,,,,,,,,,,87.55,0.88,,,,,
16MCP854,,,,,,,,,,,,,,,,,,,,,87.55,0.88,,,,,
16MCV855,,,,,,,,,,,,,,,,,,,,,19.75,0.2,,,,,
16MFI854,,,,,,,,,,,,,,,,,,,,,83,0.83,,,,,
16MFP1206,,,,,,,,,,,,,,,,,,,,,187.5,1.88,,,,,
16MFP837,,,,,,,,,,,,,,,,,,,,,128.75,1.29,,,,,
18MCI800,,,,,,,,,,,,,,,,,,,,,179.23,1.79,,,,,
18MCI854,,,,,,,,,,,,,,,,,,,,,184.78,1.85,,,,,
18MCP1000,,,,,,,,,,,,,,,,,,,,,264.4,2.64,,,,,
18MCP800,,,,,,,,,,,,,,,,,,,,,233.18,2.33,,,,,
18MCP854,,,,,,,,,,,,,,,,,,,,,115.43,1.15,,,,,
18MCV855,,,,,,,,,,,,,,,,,,,,,41.83,0.42,,,,,
20MCI2S00,,,,,,,,,,,,,,,,,,,,,189.68,1.9,,,,,
20MCI4S00,,,,,,,,,,,,,,,,,,,,,409.1,4.09,,,,,
20MCI800,,,,,,,,,,,,,,,,,,,,,148.43,1.48,,,,,
20MCI854,,,,,,,,,,,,,,,,,,,,,123.05,1.23,,,,,
20MCP2S00,,,,,,,,,,,,,,,,,,,,,237.1,2.37,,,,,
20MCP4S00,,,,,,,,,,,,,,,,,,,,,572.73,5.73,,,,,
20MCP800,,,,,,,,,,,,,,,,,,,,,200.58,2.01,,,,,
20MCP854,,,,,,,,,,,,,,,,,,,,,179.15,1.79,,,,,
20MCV855,,,,,,,,,,,,,,,,,,,,,78.53,0.79,,,,,
20MFI1054,,,,,,,,,,,,,,,,,,,,,146.85,1.47,,,,,
20MFI854,,,,,,,,,,,,,,,,,,,,,146.85,1.47,,,,,
FN118C,,,,,,,,,,,,,,,,,,,,,96,0.96,,,,,
FN138C,,,,,,,,,,,,,,,,,,,,,233.08,2.33,,,,,
FN112C,,,,,,,,,,,,,,,,,,,,,324.68,3.25,,,,,
FN134C,,,,,,,,,,,,,,,,,,,,,427.1,4.27,,,,,
FN2C,,,,,,,,,,,,,,,,,,,,,949.5,9.5,,,,,
FN214C,,,,,,,,,,,,,,,,,,,,,1130.78,11.31,,,,,
FN3C,,,,,,,,,,,,,,,,,,,,,3886.5,38.87,,,,,
FN14F,,,,,,,,,,,,,,,,,,,,,2.23,0.02,,,,,
FN38F,,,,,,,,,,,,,,,,,,,,,7.25,0.07,,,,,
