sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FAIBRHANDSCR,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRHANDSOF,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRHANDSTI,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRMOP16,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/MOPS",,,,,
FAIBRPVC13FL,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC13H,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC13SA,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC13SH,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC18,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC18H,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC18R,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC24,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRPVC24H,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRSOCSADD,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRSOFT12R,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRSOFTDIY,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIBRSTIF12R,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
